s	pop	continental_pop	sex_karyotype
HGDP00514	french	nfe	XX
HGDP00515	french	nfe	XY
HGDP00516	french	nfe	XX
HGDP00517	french	nfe	XX
HGDP00518	french	nfe	XY
HGDP00519	french	nfe	XY
HGDP00520	french	nfe	XX
HGDP00522	french	nfe	XY
HGDP00523	french	nfe	XX
HGDP00524	french	nfe	XX
HGDP00525	french	nfe	XY
HGDP00527	french	nfe	XX
HGDP00528	french	nfe	XY
HGDP00529	french	nfe	XX
HGDP00531	french	nfe	XX
HGDP00534	french	nfe	XX
HGDP00535	french	nfe	XX
HGDP00536	french	nfe	XX
HGDP00537	french	nfe	XX
HGDP00538	french	nfe	XY
HGDP00539	french	nfe	XX
HGDP00557	druze	oth	XX
HGDP00558	druze	mid	XX
HGDP00559	druze	mid	XX
HGDP00560	druze	mid	XX
HGDP00561	druze	mid	XX
HGDP00562	druze	mid	XY
HGDP00563	druze	mid	XX
HGDP00564	druze	mid	XX
HGDP00565	druze	oth	XX
HGDP00566	druze	mid	XX
HGDP00567	druze	mid	XX
HGDP00568	druze	mid	XX
HGDP00571	druze	oth	XX
HGDP00572	druze	oth	XX
HGDP00573	druze	oth	XX
HGDP00574	druze	mid	XX
HGDP00575	druze	oth	XX
HGDP00577	druze	mid	XX
HGDP00578	druze	mid	XX
HGDP00579	druze	mid	XX
HGDP00580	druze	oth	XY
HGDP00581	druze	mid	XX
HGDP00582	druze	mid	XX
HGDP00583	druze	mid	XX
HGDP00584	druze	mid	XX
HGDP00586	druze	mid	XX
HGDP00587	druze	mid	XX
HGDP00588	druze	mid	XY
HGDP00590	druze	mid	XX
HGDP00591	druze	mid	XX
HGDP00594	druze	mid	XY
HGDP00595	druze	mid	XY
HGDP00598	druze	mid	XY
HGDP00599	druze	oth	XY
HGDP00600	druze	mid	XY
HGDP00601	druze	mid	XX
HGDP00602	druze	mid	XY
HGDP00604	druze	mid	XY
HGDP00606	druze	mid	XX
HGDP00607	bedouin	mid	XX
HGDP00608	bedouin	mid	XY
HGDP00609	bedouin	oth	XY
HGDP00610	bedouin	mid	XY
HGDP00611	bedouin	oth	XY
HGDP00612	bedouin	mid	XX
HGDP00613	bedouin	oth	XX
HGDP00614	bedouin	mid	XX
HGDP00615	bedouin	mid	XX
HGDP00618	bedouin	mid	XY
HGDP00619	bedouin	mid	XY
HGDP00620	bedouin	oth	XY
HGDP00621	bedouin	afr	XY
HGDP00622	bedouin	mid	XY
HGDP00623	bedouin	mid	XY
HGDP00624	bedouin	mid	XY
HGDP00625	bedouin	oth	XY
HGDP00626	bedouin	mid	XY
HGDP00627	bedouin	oth	XY
HGDP00628	bedouin	oth	XY
HGDP00629	bedouin	mid	XY
HGDP00630	bedouin	mid	XY
HGDP00631	bedouin	mid	XY
HGDP00632	bedouin	oth	XX
HGDP00634	bedouin	oth	XX
HGDP00635	bedouin	oth	XX
HGDP00636	bedouin	mid	XX
HGDP00637	bedouin	mid	XX
HGDP00638	bedouin	oth	XX
HGDP00639	bedouin	mid	XY
HGDP00640	bedouin	oth	XY
HGDP00641	bedouin	mid	XY
HGDP00642	bedouin	mid	XY
HGDP00643	bedouin	mid	XX
HGDP00644	bedouin	mid	XY
HGDP00645	bedouin	mid	XY
HGDP00646	bedouin	oth	XX
HGDP00647	bedouin	mid	XX
HGDP00648	bedouin	mid	XY
HGDP00649	bedouin	mid	XX
HGDP00651	bedouin	mid	XX
HGDP00653	bedouin	mid	XX
HGDP00654	bedouin	oth	XY
HGDP00666	sardinian	nfe	XY
HGDP00667	sardinian	nfe	XX
HGDP00668	sardinian	nfe	XY
HGDP00669	sardinian	nfe	XX
HGDP00670	sardinian	nfe	XY
HGDP00671	sardinian	nfe	XY
HGDP00672	sardinian	nfe	XX
HGDP00673	sardinian	nfe	XX
HGDP00674	sardinian	nfe	XY
HGDP00675	palestinian	mid	XY
HGDP00676	palestinian	mid	XY
HGDP00677	palestinian	mid	XY
HGDP00678	palestinian	mid	XY
HGDP00679	palestinian	mid	XX
HGDP00680	palestinian	mid	XX
HGDP00682	palestinian	mid	XX
HGDP00683	palestinian	mid	XX
HGDP00684	palestinian	oth	XX
HGDP00685	palestinian	mid	XX
HGDP00686	palestinian	mid	XX
HGDP00687	palestinian	mid	XX
HGDP00688	palestinian	mid	XX
HGDP00689	palestinian	mid	XX
HGDP00690	palestinian	mid	XX
HGDP00691	palestinian	mid	XX
HGDP00692	palestinian	oth	XX
HGDP00693	palestinian	mid	XX
HGDP00694	palestinian	mid	XX
HGDP00696	palestinian	oth	XX
HGDP00697	palestinian	oth	XX
HGDP00698	palestinian	mid	XX
HGDP00699	palestinian	mid	XX
HGDP00700	palestinian	mid	XX
HGDP00701	bedouin	mid	XX
HGDP00703	colombian	amr	XY
HGDP00704	colombian	amr	XX
HGDP00708	colombian	amr	XX
HGDP00710	colombian	amr	XY
HGDP00711	cambodian	eas	XY
HGDP00712	cambodian	eas	XX
HGDP00714	cambodian	eas	XY
HGDP00715	cambodian	oth	XY
HGDP00716	cambodian	eas	XY
HGDP00719	cambodian	eas	XX
HGDP00720	cambodian	eas	XY
HGDP00721	cambodian	oth	XX
HGDP00723	palestinian	mid	XY
HGDP00726	palestinian	mid	XY
HGDP00727	palestinian	mid	XY
HGDP00729	palestinian	mid	XY
HGDP00730	palestinian	mid	XY
HGDP00731	palestinian	mid	XY
HGDP00732	palestinian	mid	XY
HGDP00733	palestinian	mid	XY
HGDP00734	palestinian	mid	XY
HGDP00735	palestinian	mid	XX
HGDP00736	palestinian	mid	XX
HGDP00738	palestinian	oth	XX
HGDP00739	palestinian	mid	XX
HGDP00740	palestinian	mid	XX
HGDP00741	palestinian	mid	XX
HGDP00744	palestinian	mid	XX
HGDP00745	palestinian	mid	XX
HGDP00746	palestinian	mid	XX
HGDP00747	japanese	eas	XY
HGDP00748	japanese	eas	XY
HGDP00750	japanese	eas	XY
HGDP00751	japanese	eas	XY
HGDP00752	japanese	eas	XY
HGDP00753	japanese	eas	XY
HGDP00754	japanese	eas	XX
HGDP00755	japanese	eas	XY
HGDP00756	japanese	eas	XX
HGDP00757	japanese	eas	XY
HGDP00758	japanese	eas	XY
HGDP00759	japanese	eas	XY
HGDP00760	japanese	eas	XX
HGDP00761	japanese	eas	XX
HGDP00762	japanese	eas	XY
HGDP00763	japanese	eas	XY
HGDP00764	japanese	eas	XY
HGDP00765	japanese	eas	XX
HGDP00766	japanese	eas	XY
HGDP00767	japanese	eas	XY
HGDP00768	japanese	eas	XY
HGDP00769	japanese	eas	XY
HGDP00771	japanese	eas	XX
HGDP00772	japanese	eas	XX
HGDP00774	han	eas	XY
HGDP00776	han	eas	XX
HGDP00777	han	eas	XY
HGDP00779	han	eas	XY
HGDP00780	han	eas	XY
HGDP00781	han	eas	XX
HGDP00782	han	eas	XY
HGDP00784	han	eas	XX
HGDP00786	han	eas	XY
HGDP00790	japanese	eas	XY
HGDP00791	japanese	eas	XY
HGDP00794	orcadian	nfe	XX
HGDP00795	orcadian	nfe	XY
HGDP00797	orcadian	nfe	XX
HGDP00799	orcadian	nfe	XX
HGDP00800	orcadian	nfe	XX
HGDP00802	orcadian	nfe	XX
HGDP00803	orcadian	nfe	XY
HGDP00804	orcadian	nfe	XY
HGDP00805	orcadian	nfe	XX
HGDP00806	orcadian	nfe	XX
HGDP00807	orcadian	nfe	XY
HGDP00808	orcadian	nfe	XY
HGDP00810	orcadian	nfe	XY
HGDP00811	han	eas	XX
HGDP00812	han	eas	XX
HGDP00813	han	eas	XX
HGDP00814	han	eas	XX
HGDP00815	han	eas	XY
HGDP00817	han	eas	XX
HGDP00818	han	eas	XX
HGDP00819	han	eas	XY
HGDP00820	han	eas	XX
HGDP00821	han	eas	XY
HGDP00822	han	eas	XY
HGDP00828	japanese	eas	XY
HGDP00832	surui	amr	XX
HGDP00837	surui	amr	XY
HGDP00838	surui	amr	XX
HGDP00843	surui	amr	XY
HGDP00845	surui	amr	XY
HGDP00849	surui	amr	XY
HGDP00854	maya	amr	XX
HGDP00856	maya	amr	XY
HGDP00858	maya	amr	XX
HGDP00859	maya	amr	XX
HGDP00860	maya	amr	XX
HGDP00861	maya	amr	XX
HGDP00862	maya	amr	XX
HGDP00863	maya	amr	XX
HGDP00864	maya	amr	XX
HGDP00865	maya	amr	XX
HGDP00868	maya	amr	XX
HGDP00869	maya	amr	XX
HGDP00870	maya	amr	XX
HGDP00871	maya	amr	XX
HGDP00872	maya	amr	XX
HGDP00873	maya	amr	XX
HGDP00875	maya	amr	XX
HGDP00876	maya	amr	XX
HGDP00877	maya	amr	XY
HGDP00879	russian	nfe	XY
HGDP00880	russian	nfe	XY
HGDP00881	russian	nfe	XX
HGDP00882	russian	nfe	XY
HGDP00883	russian	nfe	XY
HGDP00884	russian	nfe	XX
HGDP00885	russian	nfe	XX
HGDP00886	russian	nfe	XY
HGDP00888	russian	nfe	XY
HGDP00889	russian	nfe	XX
HGDP00890	russian	nfe	XY
HGDP00891	russian	nfe	XY
HGDP00892	russian	nfe	XY
HGDP00893	russian	nfe	XY
HGDP00894	russian	nfe	XY
HGDP00895	russian	nfe	XY
HGDP00896	russian	nfe	XY
HGDP00897	russian	nfe	XY
HGDP00898	russian	nfe	XX
HGDP00899	russian	nfe	XX
HGDP00900	russian	nfe	XY
HGDP00901	russian	nfe	XX
HGDP00902	russian	nfe	XX
HGDP00904	mandenka	afr	XY
HGDP00905	mandenka	afr	XY
HGDP00906	mandenka	afr	XY
HGDP00907	mandenka	afr	XY
HGDP00908	mandenka	afr	XY
HGDP00909	mandenka	afr	XX
HGDP00910	mandenka	afr	XX
HGDP00911	mandenka	afr	XY
HGDP00912	mandenka	afr	XY
HGDP00913	mandenka	afr	XY
HGDP00914	mandenka	afr	XX
HGDP00916	mandenka	afr	XX
HGDP00917	mandenka	afr	XX
HGDP00918	mandenka	afr	XX
HGDP00919	mandenka	afr	XY
HGDP00920	yoruba	afr	XX
HGDP00924	yoruba	afr	XX
HGDP00925	yoruba	afr	XX
HGDP00926	yoruba	afr	XX
HGDP00929	yoruba	afr	XY
HGDP00930	yoruba	afr	XY
HGDP00931	yoruba	afr	XY
HGDP00935	yoruba	afr	XX
HGDP00937	yoruba	afr	XY
HGDP00938	yoruba	afr	XX
HGDP00939	yoruba	afr	XX
HGDP00940	yoruba	afr	XY
HGDP00941	yoruba	afr	XY
HGDP00942	yoruba	afr	XY
HGDP00943	yoruba	afr	XY
HGDP00944	yoruba	afr	XY
HGDP00945	yakut	eas	XY
HGDP00946	yakut	eas	XY
HGDP00947	yakut	eas	XY
HGDP00949	yakut	oth	XY
HGDP00950	yakut	eas	XY
HGDP00952	yakut	eas	XY
HGDP00953	yakut	oth	XY
HGDP00954	yakut	eas	XY
HGDP00955	yakut	eas	XX
HGDP00957	yakut	eas	XX
HGDP00958	yakut	eas	XY
HGDP00959	yakut	eas	XX
HGDP00960	yakut	eas	XY
HGDP00961	yakut	eas	XY
HGDP00962	yakut	eas	XY
HGDP00963	yakut	eas	XX
HGDP00964	yakut	eas	XY
HGDP00965	yakut	eas	XY
HGDP00966	yakut	eas	XX
HGDP00967	yakut	eas	XX
HGDP00968	yakut	eas	XY
HGDP00969	yakut	eas	XY
HGDP00970	colombian	amr	XX
HGDP00971	han	eas	XY
HGDP00972	han	eas	XX
HGDP00973	han	eas	XY
HGDP00974	han	eas	XX
HGDP00975	han	eas	XX
HGDP00976	han	eas	XX
HGDP00977	han	eas	XY
HGDP00995	karitiana	amr	XX
HGDP00999	karitiana	amr	XX
HGDP01001	karitiana	amr	XX
HGDP01006	karitiana	amr	XX
HGDP01009	karitiana	amr	XY
HGDP01010	karitiana	amr	XX
HGDP01013	karitiana	amr	XY
HGDP01014	karitiana	amr	XX
HGDP01019	karitiana	amr	XY
HGDP01021	han	eas	XX
HGDP01023	han	eas	XX
HGDP01024	han	eas	XX
HGDP01037	pima	amr	XY
HGDP01041	pima	amr	XX
HGDP01051	pima	amr	XX
HGDP01053	pima	amr	XX
HGDP01055	pima	amr	XY
HGDP01056	pima	amr	XX
HGDP01057	pima	amr	XY
HGDP01058	pima	amr	XX
HGDP01059	pima	amr	XY
HGDP01060	pima	amr	XY
HGDP01062	sardinian	nfe	XX
HGDP01063	sardinian	nfe	XY
HGDP01064	sardinian	oth	XX
HGDP01065	sardinian	nfe	XX
HGDP01066	sardinian	nfe	XY
HGDP01067	sardinian	nfe	XY
HGDP01068	sardinian	nfe	XX
HGDP01069	sardinian	nfe	XY
HGDP01070	sardinian	nfe	XX
HGDP01071	sardinian	nfe	XY
HGDP01072	sardinian	nfe	XX
HGDP01073	sardinian	nfe	XY
HGDP01074	sardinian	nfe	XX
HGDP01075	sardinian	nfe	XY
HGDP01077	sardinian	nfe	XY
HGDP01096	tujia	eas	XY
HGDP01099	tujia	eas	XY
HGDP01100	tujia	eas	XY
HGDP01101	tujia	eas	XY
HGDP01102	tujia	eas	XY
HGDP01103	tujia	eas	XY
HGDP01104	tujia	eas	XY
HGDP01149	italian	nfe	XY
HGDP01151	italian	nfe	XY
HGDP01152	italian	nfe	XY
HGDP01155	italian	nfe	XY
HGDP01156	italian	nfe	XX
HGDP01161	tuscan	nfe	XY
HGDP01162	tuscan	nfe	XY
HGDP01164	tuscan	nfe	XY
HGDP01166	tuscan	nfe	XY
HGDP01167	tuscan	nfe	XY
HGDP01169	tuscan	nfe	XX
HGDP01171	italian	nfe	XX
HGDP01173	italian	nfe	XY
HGDP01174	italian	nfe	XY
HGDP01177	italian	nfe	XX
HGDP01181	yizu	eas	XY
HGDP01182	yizu	eas	XY
HGDP01183	yizu	eas	XY
HGDP01184	yizu	eas	XY
HGDP01185	yizu	eas	XY
HGDP01186	yizu	eas	XY
HGDP01187	yizu	eas	XY
HGDP01189	miaozu	eas	XY
HGDP01190	miaozu	eas	XY
HGDP01192	miaozu	eas	XY
HGDP01193	miaozu	eas	XY
HGDP01194	miaozu	eas	XY
HGDP01195	miaozu	eas	XY
HGDP01196	miaozu	eas	XX
HGDP01197	miaozu	eas	XX
HGDP01200	mandenka	afr	XY
HGDP01201	mandenka	afr	XX
HGDP01202	mandenka	afr	XY
HGDP01204	oroqen	eas	XY
HGDP01205	oroqen	eas	XY
HGDP01206	oroqen	eas	XY
HGDP01207	oroqen	eas	XY
HGDP01209	oroqen	eas	XX
HGDP01212	oroqen	eas	XX
HGDP01213	daur	eas	XY
HGDP01214	daur	eas	XY
HGDP01216	daur	eas	XY
HGDP01217	daur	eas	XY
HGDP01218	daur	eas	XY
HGDP01220	daur	eas	XY
HGDP01221	daur	eas	XY
HGDP01222	daur	eas	XX
HGDP01224	mongola	eas	XY
HGDP01225	mongola	eas	XY
HGDP01226	mongola	eas	XY
HGDP01227	mongola	eas	XY
HGDP01229	mongola	eas	XY
HGDP01230	mongola	eas	XY
HGDP01231	mongola	eas	XX
HGDP01232	mongola	eas	XX
HGDP01233	hezhen	eas	XY
HGDP01234	hezhen	eas	XX
HGDP01236	hezhen	eas	XY
HGDP01237	hezhen	eas	XY
HGDP01238	hezhen	eas	XX
HGDP01239	hezhen	eas	XY
HGDP01241	hezhen	eas	XY
HGDP01243	xibo	eas	XY
HGDP01244	xibo	eas	XY
HGDP01245	xibo	eas	XY
HGDP01247	xibo	eas	XY
HGDP01248	xibo	eas	XY
HGDP01249	xibo	eas	XY
HGDP01251	xibo	eas	XX
HGDP01254	mozabite	mid	XX
HGDP01255	mozabite	oth	XY
HGDP01257	mozabite	mid	XY
HGDP01258	mozabite	mid	XY
HGDP01259	mozabite	mid	XY
HGDP01260	mozabite	mid	XY
HGDP01261	mozabite	afr	XY
HGDP01262	mozabite	mid	XY
HGDP01263	mozabite	mid	XY
HGDP01264	mozabite	mid	XY
HGDP01265	mozabite	mid	XY
HGDP01266	mozabite	mid	XY
HGDP01267	mozabite	mid	XX
HGDP01268	mozabite	mid	XY
HGDP01269	mozabite	mid	XY
HGDP01270	mozabite	afr	XX
HGDP01271	mozabite	afr	XY
HGDP01272	mozabite	mid	XY
HGDP01273	mozabite	mid	XY
HGDP01275	mozabite	mid	XX
HGDP01276	mozabite	mid	XX
HGDP01277	mozabite	mid	XX
HGDP01279	mozabite	mid	XY
HGDP01280	mozabite	mid	XX
HGDP01282	mozabite	mid	XY
HGDP01283	mandenka	afr	XY
HGDP01285	mandenka	afr	XY
HGDP01287	han	eas	XX
HGDP01288	han	eas	XY
HGDP01289	han	eas	XY
HGDP01290	han	eas	XY
HGDP01291	han	eas	XX
HGDP01292	han	eas	XY
HGDP01293	han	eas	XY
HGDP01294	han	eas	XY
HGDP01295	han	eas	XY
HGDP01296	han	eas	XY
HGDP01299	uygur	oth	XY
HGDP01300	uygur	sas	XY
HGDP01301	uygur	sas	XY
HGDP01302	uygur	eas	XY
HGDP01303	uygur	oth	XY
HGDP01304	uygur	oth	XY
HGDP01305	uygur	oth	XX
HGDP01309	dai	eas	XY
HGDP01310	dai	eas	XY
HGDP01311	dai	eas	XY
HGDP01313	dai	eas	XY
HGDP01316	dai	eas	XX
HGDP01317	lahu	eas	XY
HGDP01318	lahu	eas	XY
HGDP01319	lahu	eas	XY
HGDP01321	lahu	eas	XY
HGDP01322	lahu	eas	XY
HGDP01326	lahu	eas	XY
HGDP01327	she	eas	XY
HGDP01328	she	eas	XY
HGDP01329	she	eas	XY
HGDP01330	she	eas	XY
HGDP01331	she	eas	XY
HGDP01332	she	eas	XY
HGDP01334	she	eas	XX
HGDP01336	she	eas	XX
HGDP01337	naxi	eas	XY
HGDP01339	naxi	eas	XY
HGDP01340	naxi	eas	XY
HGDP01341	naxi	eas	XY
HGDP01342	naxi	eas	XY
HGDP01346	naxi	eas	XX
HGDP01347	tu	eas	XY
HGDP01348	tu	eas	XY
HGDP01349	tu	eas	XY
HGDP01351	tu	eas	XY
HGDP01352	tu	eas	XY
HGDP01353	tu	eas	XY
HGDP01354	tu	eas	XX
HGDP01356	tu	eas	XX
HGDP01357	basque	nfe	XY
HGDP01358	basque	nfe	XY
HGDP01359	basque	nfe	XY
HGDP01360	basque	nfe	XY
HGDP01361	basque	nfe	XY
HGDP01362	basque	nfe	XY
HGDP01363	basque	nfe	XX
HGDP01366	basque	nfe	XX
HGDP01367	basque	nfe	XX
HGDP01369	basque	nfe	XX
HGDP01370	basque	nfe	XY
HGDP01372	basque	nfe	XY
HGDP01373	basque	nfe	XX
HGDP01374	basque	nfe	XY
HGDP01375	basque	nfe	XY
HGDP01376	basque	nfe	XY
HGDP01377	basque	nfe	XY
HGDP01378	basque	nfe	XY
HGDP01379	basque	nfe	XY
HGDP01380	basque	nfe	XX
HGDP01381	adygei	nfe	XX
HGDP01382	adygei	nfe	XX
HGDP01384	adygei	nfe	XX
HGDP01385	adygei	nfe	XY
HGDP01386	adygei	nfe	XX
HGDP01387	adygei	nfe	XX
HGDP01388	adygei	nfe	XX
HGDP01396	adygei	nfe	XY
HGDP01397	adygei	nfe	XY
HGDP01398	adygei	nfe	XX
HGDP01399	adygei	nfe	XX
HGDP01400	adygei	nfe	XX
HGDP01403	adygei	nfe	XY
HGDP01404	adygei	nfe	XY
HGDP01405	bantukenya	afr	XY
HGDP01408	bantukenya	afr	XY
HGDP01412	bantukenya	afr	XY
HGDP01413	bantukenya	afr	XY
HGDP01418	bantukenya	afr	XY
HGDP01419	bantukenya	afr	XY
LP6005441-DNA_A01	adygei	nfe	XY
LP6005441-DNA_A04	colombian	amr	XX
LP6005441-DNA_A05	french	nfe	XY
LP6005441-DNA_A06	italian	nfe	XY
LP6005441-DNA_A09	naxi	eas	XY
LP6005441-DNA_A12	surui	amr	XX
LP6005441-DNA_B02	bantukenya	afr	XX
LP6005441-DNA_B04	colombian	amr	XX
LP6005441-DNA_B05	french	nfe	XX
LP6005441-DNA_B06	italian	nfe	XX
LP6005441-DNA_B07	lahu	eas	XX
LP6005441-DNA_B09	naxi	eas	XX
LP6005441-DNA_B12	surui	amr	XX
LP6005441-DNA_C01	balochi	sas	XY
LP6005441-DNA_C02	basque	nfe	XY
LP6005441-DNA_C03	brahui	sas	XY
LP6005441-DNA_C05	han	eas	XY
LP6005441-DNA_C06	japanese	eas	XY
LP6005441-DNA_C07	makrani	sas	XY
LP6005441-DNA_C08	miaozu	eas	XY
LP6005441-DNA_C09	orcadian	nfe	XY
LP6005441-DNA_C10	pathan	sas	XY
LP6005441-DNA_C11	sardinian	nfe	XY
LP6005441-DNA_D01	balochi	sas	XY
LP6005441-DNA_D02	basque	nfe	XX
LP6005441-DNA_D03	brahui	sas	XY
LP6005441-DNA_D04	dai	eas	XX
LP6005441-DNA_D05	han	eas	XX
LP6005441-DNA_D06	japanese	eas	XX
LP6005441-DNA_D07	makrani	sas	XX
LP6005441-DNA_D08	miaozu	eas	XX
LP6005441-DNA_D09	orcadian	nfe	XX
LP6005441-DNA_D10	pathan	sas	XX
LP6005441-DNA_D11	sardinian	nfe	XX
LP6005441-DNA_D12	tu	eas	XX
LP6005441-DNA_E02	bedouin	mid	XY
LP6005441-DNA_E03	burusho	sas	XY
LP6005441-DNA_E05	hazara	sas	XY
LP6005441-DNA_E06	kalash	sas	XY
LP6005441-DNA_E07	mandenka	afr	XY
LP6005441-DNA_E08	mongola	eas	XY
LP6005441-DNA_E09	oroqen	eas	XY
LP6005441-DNA_E10	pima	amr	XY
LP6005441-DNA_F02	bedouin	mid	XX
LP6005441-DNA_F03	burusho	sas	XX
LP6005441-DNA_F04	daur	eas	XX
LP6005441-DNA_F05	hazara	oth	XY
LP6005441-DNA_F06	kalash	sas	XX
LP6005441-DNA_F07	mandenka	afr	XX
LP6005441-DNA_F08	mongola	eas	XX
LP6005441-DNA_F09	oroqen	eas	XX
LP6005441-DNA_F10	pima	amr	XX
LP6005441-DNA_F12	tujia	eas	XX
LP6005441-DNA_G03	cambodian	eas	XY
LP6005441-DNA_G04	druze	mid	XY
LP6005441-DNA_G05	hezhen	eas	XY
LP6005441-DNA_G06	karitiana	amr	XY
LP6005441-DNA_G07	maya	amr	XX
LP6005441-DNA_G08	mozabite	mid	XY
LP6005441-DNA_G10	russian	nfe	XY
LP6005441-DNA_G11	sindhi	sas	XY
LP6005441-DNA_G12	tuscan	nfe	XY
LP6005441-DNA_H03	cambodian	eas	XX
LP6005441-DNA_H05	hezhen	eas	XX
LP6005441-DNA_H06	karitiana	amr	XX
LP6005441-DNA_H07	maya	amr	XX
LP6005441-DNA_H08	mozabite	mid	XX
LP6005441-DNA_H09	palestinian	mid	XX
LP6005441-DNA_H10	russian	nfe	XX
LP6005441-DNA_H11	sindhi	sas	XX
LP6005441-DNA_H12	tuscan	nfe	XX
LP6005442-DNA_A02	yoruba	afr	XY
LP6005442-DNA_B02	yoruba	afr	XX
LP6005442-DNA_D01	xibo	eas	XY
LP6005442-DNA_F01	yakut	eas	XX
LP6005442-DNA_G01	yizu	eas	XY
LP6005442-DNA_H01	yizu	eas	XX
LP6005443-DNA_A01	bantukenya	afr	XY
LP6005443-DNA_A02	tujia	eas	XY
LP6005443-DNA_B01	dai	eas	XY
LP6005443-DNA_B02	uygur	sas	XY
LP6005443-DNA_C02	xibo	eas	XY
LP6005443-DNA_D01	druze	mid	XX
LP6005443-DNA_D02	yakut	eas	XY
LP6005443-DNA_E01	lahu	eas	XY
LP6005443-DNA_E02	bantusafrica	afr	XY
LP6005443-DNA_E09	naxi	eas	XY
LP6005443-DNA_F01	she	eas	XY
LP6005443-DNA_G01	she	eas	XX
LP6005443-DNA_H01	tu	eas	XY
LP6005592-DNA_B03	palestinian	mid	XY
LP6005592-DNA_D03	dai	eas	XX
NA06984	ceu	nfe	XY
NA06985	ceu	nfe	XX
NA06986	ceu	nfe	XY
NA06989	ceu	nfe	XX
NA06991	ceu	nfe	XX
NA06993	ceu	nfe	XY
NA06994	ceu	nfe	XY
NA06995	ceu	nfe	XY
NA06997	ceu	nfe	XX
NA07000	ceu	nfe	XX
NA07014	ceu	nfe	XX
NA07019	ceu	nfe	XX
NA07022	ceu	nfe	XY
NA07029	ceu	nfe	XY
NA07031	ceu	nfe	XX
NA07034	ceu	nfe	XY
NA07037	ceu	nfe	XX
NA07045	ceu	nfe	XX
NA07048	ceu	nfe	XY
NA07051	ceu	nfe	XY
NA07055	ceu	nfe	XX
NA07056	ceu	nfe	XX
NA07345	ceu	nfe	XX
NA07346	ceu	nfe	XX
NA07347	ceu	nfe	XY
NA07349	ceu	nfe	XY
NA07357	ceu	nfe	XY
NA07435	ceu	nfe	XY
NA10830	ceu	nfe	XY
NA10831	ceu	nfe	XX
NA10835	ceu	nfe	XY
NA10836	ceu	nfe	XX
NA10837	ceu	nfe	XY
NA10838	ceu	nfe	XY
NA10839	ceu	nfe	XX
NA10840	ceu	nfe	XX
NA10842	ceu	nfe	XY
NA10843	ceu	nfe	XX
NA10845	ceu	nfe	XY
NA10846	ceu	nfe	XY
NA10847	ceu	nfe	XX
NA10851	ceu	nfe	XY
NA10852	ceu	nfe	XX
NA10855	ceu	nfe	XX
NA10856	ceu	nfe	XY
NA10857	ceu	nfe	XY
NA10859	ceu	nfe	XX
NA10860	ceu	nfe	XY
NA10861	ceu	nfe	XX
NA10863	ceu	nfe	XX
NA10864	ceu	nfe	XX
NA10865	ceu	nfe	XY
NA11829	ceu	nfe	XY
NA11830	ceu	nfe	XX
NA11831	ceu	nfe	XY
NA11832	ceu	nfe	XX
NA11839	ceu	nfe	XY
NA11840	ceu	nfe	XX
NA11843	ceu	nfe	XY
NA11881	ceu	nfe	XY
NA11882	ceu	nfe	XX
NA11891	ceu	nfe	XY
NA11892	ceu	nfe	XX
NA11893	ceu	nfe	XY
NA11894	ceu	nfe	XX
NA11917	ceu	nfe	XY
NA11918	ceu	nfe	XX
NA11919	ceu	nfe	XY
NA11920	ceu	nfe	XX
NA11930	ceu	nfe	XY
NA11931	ceu	nfe	XX
NA11932	ceu	nfe	XY
NA11933	ceu	nfe	XX
NA11992	ceu	nfe	XY
NA11993	ceu	nfe	XX
NA11994	ceu	nfe	XY
NA11995	ceu	nfe	XX
NA12003	ceu	nfe	XY
NA12004	ceu	nfe	XX
NA12005	ceu	nfe	XY
NA12006	ceu	nfe	XX
NA12043	ceu	nfe	XY
NA12044	ceu	nfe	XX
NA12045	ceu	nfe	XY
NA12046	ceu	nfe	XX
NA12056	ceu	nfe	XY
NA12057	ceu	nfe	XX
NA12058	ceu	nfe	XX
NA12144	ceu	nfe	XY
NA12145	ceu	nfe	XX
NA12146	ceu	nfe	XY
NA12154	ceu	nfe	XY
NA12155	ceu	nfe	XY
NA12156	ceu	nfe	XX
NA12234	ceu	nfe	XX
NA12236	ceu	nfe	XX
NA12239	ceu	nfe	XX
NA12248	ceu	nfe	XY
NA12249	ceu	nfe	XX
NA12264	ceu	nfe	XY
NA12272	ceu	nfe	XY
NA12273	ceu	nfe	XX
NA12274	ceu	nfe	XY
NA12275	ceu	nfe	XX
NA12282	ceu	nfe	XY
NA12283	ceu	nfe	XX
NA12286	ceu	nfe	XY
NA12329	ceu	nfe	XX
NA12335	ceu	nfe	XY
NA12336	ceu	nfe	XX
NA12340	ceu	nfe	XY
NA12341	ceu	nfe	XX
NA12342	ceu	nfe	XY
NA12343	ceu	nfe	XX
NA12344	ceu	nfe	XY
NA12347	ceu	nfe	XY
NA12348	ceu	nfe	XX
NA12376	ceu	nfe	XX
NA12383	ceu	nfe	XX
NA12386	ceu	nfe	XX
NA12399	ceu	nfe	XY
NA12400	ceu	nfe	XX
NA12413	ceu	nfe	XY
NA12414	ceu	nfe	XX
NA12485	ceu	nfe	XY
NA12489	ceu	nfe	XX
NA12546B	ceu	nfe	XY
NA12707	ceu	nfe	XY
NA12716	ceu	nfe	XY
NA12717	ceu	nfe	XX
NA12718	ceu	nfe	XX
NA12739	ceu	nfe	XY
NA12740	ceu	nfe	XX
